Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°230;1.548; 1.858; 0.88; 0.352; 0.718;48; 1.023; 1.267; 0.813; 0.295; 0.688;99; 1.226; 1.555; 2.424; 0.879; 0.721;203; 4.919; 6.497; 2.381; 0.932; 0.799;317; 
Simulation n°231;0.837; 0.962; 0.221; 0.061; 0.539;46; 2.979; 4.617; 6.152; 3.691; 0.957;124; 2.929; 4.173; 5.198; 1.982; 0.798;228; 1.647; 2.175; 0.99; 0.355; 0.729;317; 
Simulation n°232;2.446; 3.792; 0.572; 0.186; 0.651;62; 1.05; 1.379; 2.364; 0.916; 0.816;105; 8.453; 13.524; 3.525; 1.52; 0.852;256; 1.525; 1.964; 4.355; 1.76; 0.839;309; 
Simulation n°233;0.661; 0.711; 0.946; 0.307; 0.643;43; 2.468; 3.517; 0.787; 0.187; 0.509;114; 1.665; 2.04; 0.512; 0.17; 0.685;196; 4.468; 6.293; 5.053; 2.147; 0.876;338; 
Simulation n°234;1.223; 1.682; 0.972; 0.292; 0.623;55; 0.849; 0.997; 4.927; 2.094; 0.875;94; 1.252; 1.62; 1.067; 0.393; 0.734;207; 2.224; 2.938; 8.61; 3.551; 0.858;317; 
Simulation n°235;0.808; 1.132; 1.63; 0.652; 0.747;56; 2.714; 3.426; 0.853; 0.331; 0.731;101; 1.707; 2.155; 4.522; 1.752; 0.743;202; 2.229; 2.944; 1.831; 0.732; 0.83;317; 
Simulation n°236;0.764; 0.993; 2.962; 1.185; 0.846;52; 1.886; 2.782; 1.579; 0.651; 0.813;118; 1.606; 2.118; 1.902; 0.69; 0.728;211; 2.135; 2.873; 2.443; 0.987; 0.833;323; 
Simulation n°237;0.558; 0.53; 0.69; 0.19; 0.468;38; 0.999; 1.237; 0.71; 0.231; 0.644;99; 11.684; 16.942; 1.997; 0.836; 0.842;232; 1.212; 1.495; 1.919; 0.656; 0.714;296; 
Simulation n°238;0.604; 0.695; 1.052; 0.315; 0.518;46; 2.633; 3.587; 1.697; 0.658; 0.747;109; 3.9; 5.143; 4.622; 1.935; 0.861;211; 1.725; 2.407; 2.377; 0.941; 0.77;335; 
Simulation n°239;1.365; 1.74; 0.459; 0.138; 0.552;51; 0.949; 1.032; 1.095; 0.424; 0.738;87; 1.979; 2.634; 1.939; 0.618; 0.638;213; 1.693; 2.237; 3.83; 1.612; 0.874;317; 
Simulation n°240;2.388; 2.985; 0.527; 0.119; 0.439;50; 1.131; 1.3; 0.974; 0.292; 0.624;92; 1.342; 1.678; 2.822; 1.093; 0.762;200; 2.937; 4.21; 1.78; 0.697; 0.792;344; 
Simulation n°241;1.112; 1.334; 1.026; 0.385; 0.673;48; 0.965; 1.23; 2.167; 0.894; 0.819;102; 1.333; 1.749; 1.023; 0.332; 0.654;210; 1.501; 1.958; 2.056; 0.78; 0.777;313; 
Simulation n°242;2.33; 3.67; 1.98; 0.99; 0.875;63; 1.044; 1.501; 3.657; 1.554; 0.838;115; 3.924; 5.37; 2.075; 0.882; 0.864;219; 1.024; 1.327; 1.58; 0.533; 0.675;311; 
Simulation n°243;1.529; 1.796; 0.281; 0.07; 0.512;47; 0.548; 0.569; 0.373; 0.084; 0.452;83; 0.935; 1.222; 2.914; 1.074; 0.736;209; 6.333; 8.893; 1.352; 0.468; 0.703;337; 
Simulation n°244;1.121; 1.318; 0.566; 0.141; 0.54;47; 0.533; 0.586; 0.733; 0.257; 0.706;88; 1.62; 1.964; 3.764; 1.388; 0.761;194; 2.729; 3.718; 2.24; 0.849; 0.752;327; 
Simulation n°245;0.501; 0.589; 1.848; 0.693; 0.823;47; 1.75; 2.231; 1.238; 0.449; 0.727;102; 1.673; 2.154; 3.859; 1.495; 0.761;206; 2.262; 3.035; 3.755; 1.392; 0.755;322; 
Simulation n°246;1.716; 2.831; 1.699; 0.764; 0.825;66; 3.371; 4.804; 0.582; 0.175; 0.618;114; 1.624; 2.202; 3.292; 1.276; 0.772;217; 1.188; 1.519; 1.664; 0.61; 0.753;307; 
Simulation n°247;2.386; 4.236; 5.187; 3.242; 0.897;71; 2.993; 4.414; 2.915; 1.02; 0.536;118; 1.53; 1.96; 0.66; 0.223; 0.666;205; 3.417; 4.599; 2.817; 1.15; 0.843;323; 
Simulation n°248;0.807; 1.049; 0.622; 0.202; 0.597;52; 3.336; 4.17; 1.436; 0.485; 0.628;100; 1.72; 2.214; 0.928; 0.29; 0.618;206; 3.137; 4.313; 2.715; 1.063; 0.796;330; 
Simulation n°249;0.426; 0.447; 1.451; 0.544; 0.753;42; 1.107; 1.509; 2.101; 0.867; 0.821;109; 1.004; 1.136; 1.425; 0.463; 0.683;181; 2.57; 3.384; 2.756; 1.057; 0.808;316; 
Simulation n°250;4.247; 6.583; 3.415; 1.793; 0.828;62; 0.722; 0.831; 0.194; 0.061; 0.62;92; 3.601; 5.266; 2.143; 0.897; 0.81;234; 2.536; 3.382; 2.414; 0.996; 0.811;320; 
Simulation n°251;0.743; 0.91; 0.431; 0.162; 0.756;49; 2.242; 3.278; 3.815; 1.812; 0.934;117; 0.806; 0.957; 1.104; 0.338; 0.627;190; 2.26; 2.891; 4.919; 1.988; 0.784;307; 
Simulation n°252;0.968; 0.968; 1.077; 0.458; 0.668;40; 1.903; 2.284; 0.641; 0.208; 0.648;96; 1.542; 2.014; 3.493; 1.354; 0.782;209; 1.486; 1.932; 1.733; 0.657; 0.772;312; 
Simulation n°253;0.883; 1.06; 1.175; 0.5; 0.7;48; 1.058; 1.402; 2.36; 0.915; 0.729;106; 1.207; 1.6; 3.211; 1.425; 0.85;212; 2.331; 3.089; 1.162; 0.436; 0.749;318; 
Simulation n°254;1.238; 1.547; 2.139; 0.802; 0.78;50; 1.117; 1.369; 1.534; 0.441; 0.616;98; 1.766; 2.218; 6.018; 2.971; 0.911;201; 1.661; 2.222; 0.791; 0.26; 0.676;321; 
Simulation n°255;0.442; 0.475; 0.54; 0.216; 0.779;43; 0.7; 0.806; 0.949; 0.273; 0.595;92; 1.671; 2.276; 4.858; 2.095; 0.903;218; 2.046; 2.942; 5.039; 2.414; 0.927;345; 
Simulation n°256;0.372; 0.381; 1.278; 0.447; 0.731;41; 4.022; 6.435; 1.731; 0.714; 0.843;128; 4.401; 6.189; 8.573; 3.429; 0.762;225; 2.678; 3.682; 2.416; 0.866; 0.752;330; 
Simulation n°257;1.454; 1.599; 1.526; 0.496; 0.666;44; 1.762; 2.489; 6.649; 3.158; 0.884;113; 1.682; 2.292; 2.806; 1.035; 0.705;218; 3.782; 5.468; 1.962; 0.752; 0.817;347; 
Simulation n°258;0.646; 0.808; 0.156; 0.059; 0.658;50; 1.746; 2.444; 0.547; 0.185; 0.599;112; 4.484; 6.586; 1.665; 0.697; 0.83;235; 1.427; 1.873; 1.269; 0.497; 0.767;315; 
Simulation n°259;1.137; 1.506; 0.62; 0.124; 0.378;53; 4.659; 6.581; 2.277; 0.939; 0.83;113; 1.023; 1.298; 1.173; 0.381; 0.676;203; 0.604; 0.672; 1.199; 0.385; 0.664;267; 
Simulation n°260;1.696; 2.756; 2.633; 1.448; 0.827;65; 4.446; 6.78; 5.586; 2.514; 0.86;122; 0.856; 1.092; 5.015; 2.351; 0.938;204; 4.716; 7.172; 6.167; 2.826; 0.936;365; 
Simulation n°261;1.233; 1.726; 5.488; 3.43; 0.95;56; 1.619; 2.145; 2.37; 1.037; 0.83;106; 0.866; 1.023; 1.676; 0.545; 0.681;189; 1.293; 1.702; 2.075; 0.821; 0.811;316; 
Simulation n°262;1.235; 1.637; 3.785; 1.514; 0.79;53; 4.689; 6.799; 1.287; 0.563; 0.834;116; 1.76; 2.123; 1.067; 0.4; 0.733;193; 2.923; 4.092; 1.597; 0.586; 0.742;336; 
Simulation n°263;1.047; 1.151; 2.606; 1.238; 0.863;44; 2.387; 3.133; 2.048; 0.64; 0.652;105; 1.942; 2.61; 9.916; 4.276; 0.871;215; 2.315; 3.087; 2.25; 0.891; 0.78;320; 
Simulation n°264;3.547; 5.498; 4.223; 2.534; 0.979;62; 5.466; 8.336; 0.3; 0.09; 0.538;122; 2.491; 3.58; 1.816; 0.749; 0.82;230; 1.583; 2.091; 0.736; 0.245; 0.686;317; 
Simulation n°265;1.433; 2.149; 1.098; 0.357; 0.619;60; 0.763; 0.964; 2.216; 0.997; 0.884;101; 1.988; 2.684; 1.855; 0.696; 0.733;216; 3.0; 4.099; 1.041; 0.356; 0.676;328; 
Simulation n°266;0.468; 0.503; 1.055; 0.29; 0.548;43; 2.565; 3.752; 1.278; 0.559; 0.832;117; 2.228; 3.175; 5.393; 2.359; 0.879;228; 1.755; 2.179; 2.336; 0.886; 0.792;298; 
Simulation n°267;2.561; 3.521; 1.544; 0.309; 0.397;55; 2.339; 3.158; 1.105; 0.373; 0.673;108; 1.225; 1.524; 1.803; 0.778; 0.837;199; 2.306; 3.267; 4.274; 1.781; 0.844;340; 
Simulation n°268;1.818; 2.728; 0.592; 0.222; 0.723;60; 2.01; 2.614; 3.411; 1.492; 0.886;104; 1.29; 1.628; 0.745; 0.237; 0.658;202; 2.021; 2.694; 1.955; 0.798; 0.82;320; 
Simulation n°269;1.129; 1.44; 4.303; 2.044; 0.888;51; 2.467; 3.393; 1.6; 0.64; 0.827;110; 2.604; 3.597; 1.43; 0.536; 0.672;221; 2.92; 4.075; 3.11; 1.322; 0.892;335; 
Simulation n°270;1.538; 2.153; 2.236; 0.95; 0.68;56; 2.334; 3.442; 3.126; 1.524; 0.902;118; 4.764; 6.998; 4.996; 2.373; 0.891;235; 1.511; 1.926; 2.384; 0.924; 0.816;306; 
Simulation n°271;2.516; 4.152; 1.217; 0.578; 0.857;66; 1.914; 2.607; 3.883; 1.699; 0.833;109; 1.167; 1.43; 2.462; 0.97; 0.819;196; 1.947; 2.661; 2.15; 0.905; 0.852;328; 
Simulation n°272;0.922; 0.991; 1.276; 0.542; 0.766;43; 2.21; 2.956; 1.508; 0.566; 0.792;107; 1.897; 2.359; 0.916; 0.355; 0.726;199; 2.459; 3.279; 2.513; 0.963; 0.748;320; 
Simulation n°273;1.658; 2.28; 0.054; 0.014; 0.49;55; 1.133; 1.388; 0.689; 0.293; 0.817;98; 1.522; 1.979; 1.645; 0.648; 0.808;208; 3.945; 5.654; 1.397; 0.454; 0.661;344; 
Simulation n°274;0.546; 0.696; 0.0; 0.0; 0.275;51; 1.133; 1.416; 2.58; 1.0; 0.772;100; 2.937; 3.873; 1.94; 0.764; 0.849;211; 2.363; 3.181; 9.58; 4.311; 0.874;323; 
Simulation n°275;1.296; 1.458; 0.072; 0.016; 0.343;45; 1.205; 1.552; 1.074; 0.443; 0.81;103; 1.8; 2.475; 4.183; 1.83; 0.865;220; 6.223; 8.22; 9.001; 4.05; 0.937;317; 
Simulation n°276;0.498; 0.536; 0.276; 0.069; 0.463;43; 2.897; 3.947; 1.124; 0.436; 0.733;109; 2.209; 2.817; 3.831; 1.652; 0.843;204; 3.753; 5.396; 1.722; 0.667; 0.794;345; 
Simulation n°277;0.527; 0.725; 3.149; 1.653; 0.813;55; 5.209; 7.097; 3.599; 1.664; 0.841;109; 2.314; 3.038; 2.826; 1.183; 0.854;210; 5.271; 7.489; 2.861; 1.133; 0.818;341; 
Simulation n°278;0.733; 0.843; 0.925; 0.416; 0.797;46; 0.98; 1.262; 1.529; 0.44; 0.583;103; 3.201; 4.161; 3.096; 1.335; 0.88;208; 3.132; 4.15; 2.469; 0.864; 0.732;318; 
Simulation n°279;1.147; 1.577; 4.738; 2.369; 0.846;55; 1.306; 1.551; 1.78; 0.823; 0.873;95; 0.937; 1.148; 2.847; 1.139; 0.856;196; 2.313; 3.093; 2.767; 1.21; 0.845;321; 
Simulation n°280;0.731; 1.006; 0.541; 0.216; 0.745;55; 3.427; 4.712; 1.485; 0.613; 0.821;110; 2.649; 3.626; 6.262; 2.975; 0.923;219; 1.256; 1.581; 1.829; 0.732; 0.797;302; 
Simulation n°281;0.451; 0.552; 0.378; 0.123; 0.602;49; 1.02; 1.287; 2.888; 1.119; 0.725;101; 2.822; 3.898; 5.49; 2.505; 0.925;221; 1.437; 1.826; 1.845; 0.715; 0.784;305; 
Simulation n°282;0.822; 1.007; 1.154; 0.461; 0.763;49; 0.7; 0.796; 1.941; 0.728; 0.77;91; 1.695; 2.384; 0.974; 0.359; 0.725;225; 2.122; 2.617; 0.627; 0.186; 0.602;296; 
Simulation n°283;1.302; 1.661; 1.207; 0.422; 0.705;51; 2.399; 3.358; 2.608; 1.141; 0.771;112; 1.175; 1.535; 0.889; 0.333; 0.725;209; 1.692; 2.058; 1.619; 0.614; 0.788;292; 
Simulation n°284;3.647; 5.652; 1.703; 0.851; 0.901;62; 2.582; 3.486; 3.174; 1.548; 0.906;108; 1.378; 1.8; 1.598; 0.629; 0.706;209; 1.462; 1.937; 0.755; 0.242; 0.663;318; 
Simulation n°285;3.161; 4.979; 0.3; 0.075; 0.493;63; 1.412; 1.907; 2.555; 1.022; 0.739;108; 2.001; 2.551; 1.018; 0.401; 0.796;204; 3.609; 5.293; 2.982; 1.242; 0.839;352; 
Simulation n°286;0.301; 0.301; 0.421; 0.105; 0.459;40; 0.678; 0.923; 0.399; 0.13; 0.626;109; 1.179; 1.555; 3.584; 1.344; 0.724;211; 1.557; 1.998; 1.866; 0.778; 0.838;308; 
Simulation n°287;0.676; 0.828; 0.564; 0.225; 0.764;49; 4.851; 7.398; 1.619; 0.688; 0.848;122; 6.158; 9.276; 9.254; 4.28; 0.92;241; 1.701; 2.155; 1.418; 0.479; 0.67;304; 
Simulation n°288;2.072; 3.212; 1.216; 0.456; 0.625;62; 2.285; 3.199; 0.905; 0.283; 0.585;112; 5.283; 7.892; 6.247; 2.694; 0.829;239; 4.065; 5.962; 1.73; 0.627; 0.761;352; 
Simulation n°289;0.52; 0.546; 0.29; 0.08; 0.469;42; 1.972; 2.588; 1.169; 0.424; 0.764;105; 1.196; 1.555; 3.18; 1.372; 0.84;208; 1.758; 2.161; 6.561; 2.652; 0.82;295; 
Simulation n°290;1.245; 1.681; 2.321; 1.102; 0.865;54; 1.606; 1.928; 1.861; 0.698; 0.752;96; 2.274; 2.941; 3.672; 1.538; 0.848;207; 1.229; 1.603; 2.144; 0.866; 0.835;313; 
Simulation n°291;2.731; 3.96; 0.372; 0.093; 0.483;58; 0.844; 1.023; 1.969; 0.542; 0.56;97; 2.814; 4.045; 1.753; 0.712; 0.792;230; 1.593; 1.984; 7.599; 3.451; 0.921;299; 
Simulation n°292;1.914; 2.679; 0.227; 0.068; 0.517;56; 1.499; 2.08; 6.379; 3.11; 0.87;111; 4.853; 6.977; 1.132; 0.467; 0.8;230; 1.302; 1.698; 0.887; 0.303; 0.669;313; 
Simulation n°293;0.465; 0.535; 0.29; 0.087; 0.63;46; 3.641; 5.325; 0.24; 0.066; 0.575;117; 1.919; 2.59; 1.555; 0.651; 0.83;216; 1.787; 2.375; 5.999; 2.45; 0.793;319; 
Simulation n°294;0.601; 0.571; 0.783; 0.235; 0.529;38; 4.714; 6.835; 1.493; 0.523; 0.643;116; 1.771; 2.347; 1.139; 0.406; 0.724;212; 1.446; 1.747; 3.889; 1.702; 0.904;290; 
Simulation n°295;0.5; 0.575; 0.826; 0.351; 0.76;46; 1.504; 1.936; 2.784; 1.114; 0.83;103; 1.698; 2.239; 6.796; 3.058; 0.954;211; 3.102; 4.072; 2.471; 0.947; 0.78;315; 
Simulation n°296;2.443; 4.093; 3.151; 1.654; 0.833;67; 0.495; 0.557; 1.128; 0.367; 0.712;90; 2.296; 2.956; 6.01; 2.404; 0.833;206; 1.748; 2.33; 5.402; 2.206; 0.86;320; 
Simulation n°297;2.013; 2.919; 0.146; 0.048; 0.553;58; 1.309; 1.702; 0.558; 0.174; 0.663;104; 1.755; 2.227; 1.769; 0.608; 0.721;203; 2.165; 2.833; 2.316; 0.83; 0.731;314; 
Simulation n°298;0.507; 0.519; 2.652; 1.127; 0.879;41; 1.83; 2.401; 2.195; 0.905; 0.748;105; 1.727; 2.417; 3.313; 1.512; 0.91;224; 1.795; 2.424; 1.945; 0.77; 0.778;324; 
Simulation n°299;0.622; 0.778; 0.385; 0.115; 0.581;50; 0.656; 0.787; 1.024; 0.256; 0.488;96; 2.734; 3.964; 2.776; 1.058; 0.819;232; 1.663; 2.155; 2.132; 0.826; 0.797;311; 
Simulation n°300;1.493; 2.165; 1.891; 0.993; 0.863;58; 2.276; 2.873; 1.922; 0.649; 0.692;101; 2.609; 3.31; 5.759; 2.808; 0.886;203; 0.86; 1.029; 1.493; 0.523; 0.69;287; 
Simulation n°301;1.822; 2.414; 0.0; 0.0; 0.432;53; 1.305; 1.55; 0.794; 0.268; 0.66;95; 0.863; 0.96; 0.855; 0.283; 0.702;178; 1.138; 1.465; 2.024; 0.818; 0.804;309; 
Simulation n°302;1.614; 1.695; 1.529; 0.535; 0.683;42; 1.677; 2.159; 2.315; 1.07; 0.865;103; 1.525; 1.926; 2.314; 0.752; 0.685;202; 1.522; 1.94; 4.643; 1.818; 0.799;306; 
Simulation n°303;1.708; 2.69; 0.546; 0.232; 0.768;63; 2.272; 2.925; 1.494; 0.541; 0.712;103; 1.221; 1.618; 1.588; 0.595; 0.764;212; 3.334; 4.39; 2.756; 1.056; 0.808;316; 
Simulation n°304;1.401; 1.751; 0.2; 0.065; 0.657;50; 5.828; 8.888; 1.674; 0.607; 0.608;122; 1.625; 2.163; 1.921; 0.745; 0.725;213; 0.979; 1.253; 3.989; 1.612; 0.835;307; 
Simulation n°305;1.348; 1.887; 1.03; 0.438; 0.802;56; 0.995; 1.28; 3.196; 1.558; 0.88;103; 4.814; 7.281; 5.789; 2.714; 0.922;242; 1.767; 2.334; 2.181; 0.918; 0.825;317; 
Simulation n°306;0.589; 0.854; 1.615; 0.686; 0.789;58; 1.731; 2.164; 1.161; 0.45; 0.77;100; 2.633; 3.472; 1.649; 0.628; 0.791;211; 1.919; 2.519; 2.864; 1.122; 0.833;315; 
Simulation n°307;1.238; 1.517; 1.716; 0.687; 0.786;49; 1.447; 1.935; 1.218; 0.426; 0.704;107; 2.321; 3.206; 3.769; 1.602; 0.873;221; 1.397; 1.851; 4.081; 1.717; 0.846;318; 
Simulation n°308;0.526; 0.578; 0.0; 0.0; 0.292;44; 0.785; 0.922; 2.204; 0.882; 0.763;94; 2.192; 2.836; 3.378; 1.478; 0.845;207; 4.837; 6.973; 5.504; 2.523; 0.936;346; 
Simulation n°309;0.624; 0.67; 0.314; 0.086; 0.448;43; 2.241; 3.25; 1.268; 0.475; 0.729;116; 0.693; 0.802; 1.643; 0.626; 0.775;185; 1.241; 1.551; 3.999; 1.516; 0.711;300; 
Simulation n°310;0.591; 0.665; 0.065; 0.016; 0.446;45; 1.884; 2.449; 1.541; 0.597; 0.738;104; 5.45; 7.835; 2.267; 0.949; 0.773;230; 1.867; 2.435; 2.138; 0.784; 0.746;313; 
Simulation n°311;2.413; 3.801; 0.196; 0.039; 0.377;63; 1.175; 1.645; 4.516; 1.75; 0.803;112; 1.228; 1.596; 1.213; 0.387; 0.624;208; 2.855; 3.902; 5.782; 2.578; 0.901;328; 
Simulation n°312;4.991; 7.611; 5.023; 2.637; 0.847;61; 1.322; 1.537; 0.627; 0.219; 0.682;93; 1.203; 1.361; 2.415; 0.785; 0.661;181; 1.788; 2.354; 3.465; 1.241; 0.748;316; 
Simulation n°313;3.059; 4.054; 1.038; 0.363; 0.747;53; 1.513; 2.213; 1.042; 0.352; 0.66;117; 1.23; 1.537; 1.478; 0.554; 0.783;200; 1.9; 2.596; 8.311; 4.086; 0.911;328; 
Simulation n°314;1.293; 1.777; 3.12; 1.248; 0.827;55; 0.61; 0.663; 2.509; 1.004; 0.834;87; 0.956; 1.314; 1.326; 0.481; 0.71;220; 2.809; 3.839; 2.537; 1.036; 0.822;328; 
Simulation n°315;1.176; 1.647; 1.212; 0.575; 0.793;56; 2.299; 3.305; 2.035; 0.967; 0.928;115; 1.501; 2.111; 6.613; 2.645; 0.781;225; 1.349; 1.608; 3.282; 1.258; 0.761;286; 
Simulation n°316;0.899; 1.057; 4.62; 2.079; 0.651;47; 1.819; 2.615; 0.525; 0.164; 0.642;115; 3.046; 3.998; 1.763; 0.595; 0.652;210; 6.063; 8.917; 7.828; 3.686; 0.873;353; 
Simulation n°317;0.442; 0.508; 0.912; 0.274; 0.509;46; 3.241; 5.064; 1.471; 0.625; 0.773;125; 1.178; 1.495; 1.271; 0.477; 0.715;203; 3.07; 4.567; 2.618; 1.113; 0.864;357; 
Simulation n°318;3.359; 5.542; 1.276; 0.542; 0.81;66; 1.778; 2.445; 1.612; 0.685; 0.825;110; 1.356; 1.754; 1.271; 0.437; 0.707;207; 2.968; 3.884; 0.678; 0.215; 0.64;314; 
Simulation n°319;1.636; 2.577; 0.958; 0.359; 0.69;63; 1.134; 1.375; 0.294; 0.085; 0.586;97; 4.653; 6.892; 2.602; 1.025; 0.804;237; 0.978; 1.124; 1.33; 0.427; 0.667;276; 
Simulation n°320;2.547; 3.82; 1.76; 0.66; 0.529;60; 2.469; 3.271; 1.467; 0.587; 0.783;106; 3.203; 4.444; 1.578; 0.631; 0.835;222; 1.485; 2.048; 2.524; 1.052; 0.815;331; 
Simulation n°321;0.868; 1.063; 2.603; 1.041; 0.867;49; 2.829; 4.244; 2.483; 1.086; 0.818;120; 1.668; 2.012; 3.239; 1.194; 0.771;193; 1.803; 2.381; 1.998; 0.782; 0.772;317; 
Simulation n°322;1.718; 2.663; 0.364; 0.127; 0.633;62; 1.8; 2.407; 0.583; 0.211; 0.68;107; 1.162; 1.46; 2.145; 0.858; 0.794;201; 2.39; 3.117; 1.989; 0.829; 0.874;313; 
Simulation n°323;1.62; 2.35; 1.694; 0.593; 0.791;58; 1.055; 1.293; 0.761; 0.257; 0.684;98; 4.101; 5.563; 6.614; 3.183; 0.895;217; 1.405; 1.721; 2.734; 0.98; 0.732;294; 
Simulation n°324;1.486; 2.08; 0.064; 0.021; 0.594;56; 0.964; 1.157; 0.761; 0.266; 0.73;96; 2.063; 2.785; 10.606; 4.839; 0.879;216; 2.944; 3.876; 1.491; 0.565; 0.781;316; 
Simulation n°325;0.648; 0.874; 3.286; 1.479; 0.852;54; 1.072; 1.367; 3.452; 1.553; 0.863;102; 2.179; 2.805; 1.877; 0.786; 0.85;206; 1.959; 2.62; 2.828; 1.19; 0.874;321; 
Simulation n°326;0.45; 0.54; 1.353; 0.676; 0.84;48; 5.099; 7.457; 1.296; 0.421; 0.614;117; 2.33; 3.16; 1.419; 0.514; 0.728;217; 2.361; 2.961; 0.627; 0.191; 0.638;301; 
Simulation n°327;0.752; 1.053; 3.788; 1.989; 0.853;56; 3.308; 4.879; 1.909; 0.811; 0.73;118; 1.633; 2.011; 2.279; 0.812; 0.753;197; 1.766; 2.289; 7.137; 3.152; 0.901;311; 
Simulation n°328;1.661; 2.243; 0.38; 0.086; 0.405;54; 3.502; 4.903; 0.224; 0.059; 0.486;112; 0.971; 1.099; 2.752; 0.998; 0.758;181; 3.617; 5.139; 4.474; 1.994; 0.861;341; 
Simulation n°329;0.855; 1.197; 1.173; 0.44; 0.628;56; 3.049; 4.497; 3.286; 1.479; 0.856;118; 2.275; 2.801; 2.232; 0.781; 0.728;197; 1.483; 1.86; 0.902; 0.327; 0.711;301; 
Simulation n°330;1.394; 1.708; 0.502; 0.163; 0.662;49; 1.502; 1.84; 1.92; 0.792; 0.787;98; 1.434; 1.73; 0.751; 0.225; 0.576;193; 1.383; 1.775; 5.828; 2.598; 0.911;308; 
Simulation n°331;1.592; 2.029; 0.77; 0.25; 0.665;51; 0.992; 1.277; 4.711; 1.826; 0.791;103; 1.939; 2.509; 0.995; 0.317; 0.645;207; 3.984; 5.428; 5.695; 2.373; 0.874;327; 
Simulation n°332;1.309; 1.996; 0.092; 0.025; 0.545;61; 6.393; 10.628; 8.97; 4.933; 0.902;133; 1.72; 2.301; 1.144; 0.4; 0.674;214; 1.269; 1.559; 2.023; 0.7; 0.705;295; 
Simulation n°333;0.291; 0.276; 2.249; 1.124; 0.797;38; 1.461; 1.9; 2.317; 0.927; 0.789;104; 6.389; 9.544; 8.338; 3.7; 0.914;239; 1.679; 2.141; 2.501; 1.053; 0.857;306; 
Simulation n°334;2.298; 3.505; 1.745; 0.654; 0.75;61; 4.205; 6.203; 1.043; 0.443; 0.782;118; 2.034; 2.822; 1.532; 0.584; 0.776;222; 2.951; 4.008; 2.189; 0.857; 0.792;326; 
Simulation n°335;0.979; 1.346; 0.244; 0.061; 0.506;55; 1.187; 1.409; 0.284; 0.082; 0.555;95; 1.45; 1.939; 3.278; 1.373; 0.844;214; 2.161; 2.927; 4.021; 1.726; 0.892;325; 
Simulation n°336;0.896; 1.188; 0.75; 0.263; 0.647;53; 1.548; 2.07; 3.071; 1.19; 0.71;107; 2.869; 3.927; 1.234; 0.509; 0.788;219; 1.368; 1.836; 2.237; 0.923; 0.862;322; 
Simulation n°337;3.276; 5.488; 0.057; 0.019; 0.656;67; 1.777; 2.466; 0.4; 0.13; 0.611;111; 2.16; 3.025; 6.477; 2.834; 0.904;224; 3.507; 4.94; 1.074; 0.376; 0.716;338; 
Simulation n°338;0.737; 1.014; 1.406; 0.668; 0.859;55; 2.154; 2.693; 2.367; 0.976; 0.848;100; 2.578; 3.4; 1.345; 0.504; 0.729;211; 2.39; 3.206; 7.212; 3.095; 0.779;322; 
Simulation n°339;0.327; 0.367; 0.537; 0.121; 0.473;45; 1.716; 2.339; 0.409; 0.133; 0.617;109; 3.936; 5.683; 2.253; 0.887; 0.794;231; 2.56; 3.446; 1.507; 0.54; 0.736;323; 
Simulation n°340;1.431; 2.04; 1.886; 0.802; 0.819;57; 1.658; 2.217; 3.233; 1.293; 0.781;107; 2.042; 2.732; 0.996; 0.399; 0.84;214; 2.458; 3.031; 7.032; 2.988; 0.814;296; 
Simulation n°341;4.445; 7.668; 0.234; 0.082; 0.624;69; 1.168; 1.562; 0.896; 0.336; 0.761;107; 1.863; 2.562; 1.99; 0.809; 0.82;220; 2.22; 3.182; 5.7; 2.423; 0.852;344; 
Simulation n°342;1.215; 1.701; 1.118; 0.363; 0.611;56; 4.664; 6.997; 1.077; 0.444; 0.818;120; 2.409; 3.161; 1.995; 0.76; 0.754;210; 2.2; 2.914; 2.433; 1.024; 0.825;318; 
Simulation n°343;1.16; 1.595; 1.473; 0.552; 0.724;55; 1.377; 2.083; 1.093; 0.437; 0.739;121; 2.731; 3.84; 5.458; 2.627; 0.954;225; 2.227; 3.053; 5.359; 2.233; 0.86;329; 
Simulation n°344;0.346; 0.363; 0.206; 0.041; 0.404;42; 1.339; 1.74; 1.388; 0.486; 0.674;104; 4.851; 6.397; 2.96; 1.036; 0.732;211; 1.852; 2.439; 1.613; 0.611; 0.781;316; 
Simulation n°345;1.772; 2.481; 1.265; 0.538; 0.859;56; 3.079; 4.464; 2.706; 1.251; 0.902;116; 4.06; 5.963; 1.738; 0.663; 0.766;235; 6.247; 9.604; 2.113; 0.88; 0.83;369; 
Simulation n°346;0.783; 0.901; 1.144; 0.372; 0.694;46; 0.884; 1.006; 1.154; 0.404; 0.688;91; 1.365; 1.587; 0.492; 0.141; 0.599;186; 2.368; 3.217; 0.838; 0.293; 0.718;326; 
