Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°63;1.192; 1.43; 2.445; 0.978; 0.608;48; 1.887; 2.618; 1.887; 0.708; 0.756;111; 2.854; 3.907; 1.536; 0.586; 0.733;219; 1.181; 1.442; 1.192; 0.412; 0.639;293; 
Simulation n°64;0.612; 0.704; 0.401; 0.13; 0.622;46; 0.959; 1.162; 0.627; 0.188; 0.564;97; 1.598; 2.127; 3.582; 1.567; 0.764;213; 1.601; 2.054; 2.342; 0.878; 0.777;308; 
Simulation n°65;0.779; 1.032; 0.453; 0.159; 0.676;53; 0.984; 1.181; 0.494; 0.167; 0.636;96; 2.071; 2.614; 3.824; 1.697; 0.858;202; 2.369; 3.198; 0.907; 0.306; 0.693;324; 
Simulation n°66;1.051; 1.235; 0.92; 0.345; 0.739;47; 0.98; 1.238; 0.666; 0.2; 0.594;101; 1.315; 1.742; 1.841; 0.702; 0.801;212; 8.255; 12.589; 4.957; 2.148; 0.876;366; 
Simulation n°67;0.605; 0.741; 0.0; 0.0; 0.437;49; 0.89; 1.146; 3.13; 1.291; 0.85;103; 2.345; 3.385; 1.212; 0.417; 0.697;231; 1.805; 2.392; 1.868; 0.778; 0.806;318; 
Simulation n°68;2.849; 4.559; 0.619; 0.201; 0.689;64; 5.014; 7.896; 0.578; 0.217; 0.75;126; 1.197; 1.482; 2.061; 0.786; 0.798;198; 1.387; 1.792; 1.679; 0.679; 0.842;310; 
Simulation n°69;2.513; 4.209; 1.345; 0.639; 0.836;67; 0.785; 0.941; 1.144; 0.472; 0.764;96; 6.477; 9.715; 2.009; 0.854; 0.832;240; 1.558; 1.895; 3.16; 1.185; 0.779;292; 
Simulation n°70;2.066; 2.892; 0.583; 0.233; 0.783;56; 1.998; 2.948; 1.236; 0.479; 0.693;118; 1.544; 2.123; 6.007; 2.628; 0.856;220; 1.475; 1.899; 2.1; 0.84; 0.797;309; 
Simulation n°71;0.675; 0.844; 1.13; 0.424; 0.755;50; 1.734; 2.32; 5.08; 2.223; 0.902;107; 1.569; 2.04; 1.078; 0.377; 0.734;208; 3.171; 4.611; 4.286; 1.607; 0.773;349; 
Simulation n°72;1.177; 1.383; 0.788; 0.236; 0.589;47; 1.792; 2.217; 0.758; 0.275; 0.719;99; 0.833; 0.968; 0.601; 0.184; 0.602;186; 1.939; 2.682; 4.555; 1.822; 0.816;332; 
Simulation n°73;2.73; 3.686; 2.324; 1.162; 0.851;54; 1.177; 1.706; 1.192; 0.521; 0.76;116; 6.124; 9.109; 1.925; 0.83; 0.854;238; 3.002; 4.228; 1.738; 0.616; 0.718;338; 
Simulation n°74;2.335; 3.153; 1.119; 0.42; 0.735;54; 2.046; 2.838; 0.616; 0.193; 0.585;111; 2.808; 3.651; 0.462; 0.136; 0.59;208; 3.47; 4.656; 0.987; 0.321; 0.655;322; 
Simulation n°75;0.401; 0.491; 0.734; 0.275; 0.64;49; 1.232; 1.725; 3.696; 1.478; 0.801;112; 1.671; 2.152; 2.991; 1.122; 0.779;206; 2.833; 3.73; 1.155; 0.457; 0.802;316; 
Simulation n°76;2.349; 3.407; 0.59; 0.207; 0.7;58; 1.711; 2.46; 1.574; 0.571; 0.755;115; 1.617; 1.991; 1.094; 0.383; 0.745;197; 1.747; 2.148; 1.823; 0.699; 0.794;295; 
Simulation n°77;0.302; 0.31; 0.238; 0.066; 0.565;41; 2.801; 4.096; 4.366; 2.238; 0.96;117; 1.239; 1.441; 0.736; 0.221; 0.62;186; 1.924; 2.557; 3.039; 1.19; 0.827;319; 
Simulation n°78;2.313; 3.296; 0.516; 0.168; 0.662;57; 1.851; 2.291; 1.15; 0.388; 0.654;99; 2.876; 3.774; 1.875; 0.774; 0.836;210; 1.332; 1.649; 1.187; 0.406; 0.724;297; 
Simulation n°79;0.559; 0.755; 2.791; 1.116; 0.764;54; 1.679; 2.33; 3.637; 1.5; 0.867;111; 0.806; 1.028; 2.699; 1.029; 0.783;204; 1.264; 1.586; 1.656; 0.621; 0.765;301; 
Simulation n°80;0.944; 1.275; 1.065; 0.373; 0.571;54; 0.679; 0.738; 2.469; 0.864; 0.732;87; 3.273; 4.358; 5.888; 2.466; 0.789;213; 5.108; 7.002; 4.659; 2.038; 0.889;329; 
Simulation n°81;0.645; 0.742; 1.1; 0.412; 0.742;46; 1.197; 1.586; 2.904; 1.343; 0.876;106; 1.552; 2.047; 1.836; 0.723; 0.803;211; 1.839; 2.337; 5.339; 2.469; 0.934;305; 
Simulation n°82;2.556; 4.09; 0.167; 0.059; 0.711;64; 1.876; 2.72; 0.797; 0.249; 0.599;116; 2.271; 3.038; 3.168; 1.247; 0.838;214; 1.857; 2.453; 2.302; 0.834; 0.77;317; 
Simulation n°83;2.334; 2.801; 0.27; 0.081; 0.584;48; 0.887; 0.987; 1.897; 0.593; 0.604;89; 2.104; 2.946; 2.217; 0.956; 0.839;224; 1.41; 1.757; 1.593; 0.611; 0.755;299; 
Simulation n°84;0.97; 1.164; 0.959; 0.24; 0.534;48; 1.474; 2.026; 0.855; 0.363; 0.786;110; 2.679; 3.617; 4.174; 1.409; 0.721;216; 1.761; 2.282; 1.081; 0.374; 0.7;311; 
Simulation n°85;3.456; 5.097; 0.302; 0.09; 0.606;59; 2.084; 2.839; 2.031; 0.838; 0.794;109; 1.561; 2.097; 1.76; 0.638; 0.758;215; 1.611; 2.215; 2.079; 0.857; 0.826;330; 
Simulation n°86;0.733; 0.935; 0.407; 0.132; 0.657;51; 1.307; 1.814; 2.538; 1.047; 0.826;111; 1.269; 1.562; 2.549; 0.908; 0.756;197; 0.585; 0.629; 1.755; 0.658; 0.744;258; 
Simulation n°87;0.575; 0.647; 0.208; 0.068; 0.586;45; 1.45; 1.994; 0.863; 0.27; 0.617;110; 1.178; 1.421; 0.742; 0.241; 0.695;193; 2.465; 3.307; 2.717; 1.098; 0.776;322; 
Simulation n°88;2.601; 3.837; 0.731; 0.274; 0.817;59; 0.667; 0.75; 0.885; 0.255; 0.572;90; 1.914; 2.62; 8.521; 3.515; 0.83;219; 1.982; 2.667; 2.07; 0.836; 0.82;323; 
Simulation n°89;0.664; 0.697; 0.355; 0.107; 0.597;42; 0.543; 0.644; 0.807; 0.252; 0.634;95; 2.386; 3.237; 2.047; 0.768; 0.758;217; 1.898; 2.397; 3.466; 1.459; 0.845;303; 
Simulation n°90;2.952; 4.28; 2.835; 1.063; 0.648;58; 1.08; 1.417; 3.193; 1.596; 0.885;105; 1.304; 1.76; 3.477; 1.478; 0.875;216; 1.687; 2.074; 1.275; 0.494; 0.769;295; 
Simulation n°91;0.314; 0.385; 1.768; 0.53; 0.657;49; 1.046; 1.281; 0.987; 0.382; 0.782;98; 1.696; 2.12; 3.604; 1.509; 0.806;200; 3.101; 4.161; 1.713; 0.664; 0.783;322; 
Simulation n°92;0.867; 0.976; 0.597; 0.164; 0.562;45; 1.086; 1.303; 1.496; 0.467; 0.673;96; 0.977; 1.337; 4.667; 1.633; 0.704;219; 15.557; 25.086; 0.965; 0.378; 0.779;387; 
Simulation n°93;4.004; 6.307; 2.012; 0.905; 0.853;63; 2.388; 3.79; 1.733; 0.802; 0.817;127; 1.199; 1.603; 5.303; 2.154; 0.856;214; 1.265; 1.571; 2.281; 0.827; 0.704;298; 
Simulation n°94;1.545; 2.201; 0.414; 0.145; 0.612;57; 7.274; 12.184; 8.092; 3.641; 0.884;134; 2.639; 3.414; 2.848; 1.05; 0.759;207; 2.715; 3.936; 4.607; 2.073; 0.946;348; 
Simulation n°95;2.278; 3.872; 0.441; 0.154; 0.699;68; 1.644; 2.096; 0.222; 0.069; 0.566;102; 2.067; 2.661; 5.238; 2.226; 0.806;206; 3.648; 4.986; 2.286; 0.905; 0.797;328; 
Simulation n°96;0.366; 0.457; 0.483; 0.157; 0.647;50; 1.74; 2.392; 2.817; 1.268; 0.76;110; 2.855; 4.283; 6.076; 2.658; 0.893;240; 2.91; 3.929; 1.15; 0.431; 0.754;324; 
Simulation n°97;0.811; 1.054; 1.712; 0.685; 0.791;52; 2.335; 3.064; 4.896; 1.897; 0.853;105; 2.791; 4.011; 3.53; 1.456; 0.858;230; 2.875; 3.869; 4.481; 1.848; 0.796;323; 
Simulation n°98;0.309; 0.285; 0.334; 0.083; 0.471;37; 4.565; 6.677; 1.277; 0.59; 0.875;117; 1.121; 1.415; 3.296; 1.195; 0.761;202; 2.537; 3.255; 1.699; 0.63; 0.787;308; 
Simulation n°99;1.441; 1.982; 4.22; 2.11; 0.923;55; 2.407; 3.31; 2.851; 1.14; 0.83;110; 1.396; 1.85; 1.766; 0.684; 0.723;212; 1.86; 2.473; 1.657; 0.608; 0.753;319; 
Simulation n°100;1.132; 1.415; 0.324; 0.113; 0.662;50; 1.349; 1.703; 2.44; 1.067; 0.848;101; 2.877; 3.865; 1.456; 0.528; 0.728;215; 2.086; 2.859; 4.73; 1.794; 0.789;329; 
Simulation n°101;0.708; 0.938; 0.713; 0.321; 0.778;53; 1.033; 1.33; 0.572; 0.2; 0.685;103; 7.007; 10.817; 4.956; 2.354; 0.903;247; 1.581; 2.114; 1.794; 0.598; 0.675;321; 
Simulation n°102;0.601; 0.586; 0.407; 0.112; 0.53;39; 6.64; 10.292; 0.814; 0.285; 0.618;124; 2.27; 3.164; 0.812; 0.31; 0.782;223; 1.81; 2.39; 4.992; 2.059; 0.839;317; 
Simulation n°103;1.453; 2.179; 2.187; 1.039; 0.718;60; 4.139; 6.26; 0.533; 0.18; 0.627;121; 2.389; 3.21; 1.365; 0.495; 0.698;215; 1.367; 1.698; 0.968; 0.315; 0.654;298; 
Simulation n°104;1.224; 1.622; 0.872; 0.414; 0.779;53; 0.697; 0.784; 3.946; 1.677; 0.82;90; 1.702; 2.021; 1.357; 0.484; 0.746;190; 7.559; 10.992; 2.623; 1.016; 0.81;349; 
Simulation n°105;1.692; 2.368; 1.258; 0.535; 0.752;56; 1.221; 1.603; 0.725; 0.29; 0.725;105; 1.614; 2.027; 0.582; 0.178; 0.62;201; 1.678; 2.286; 4.103; 1.898; 0.907;327; 
Simulation n°106;0.651; 0.863; 0.607; 0.227; 0.77;53; 1.187; 1.676; 1.661; 0.623; 0.708;113; 0.902; 1.111; 0.912; 0.325; 0.711;197; 2.785; 3.899; 3.332; 1.444; 0.88;336; 
Simulation n°107;1.173; 1.496; 0.159; 0.04; 0.548;51; 2.548; 3.472; 2.576; 1.03; 0.794;109; 1.965; 2.825; 2.736; 1.129; 0.803;230; 2.025; 2.709; 2.272; 0.862; 0.804;321; 
Simulation n°108;1.479; 2.404; 2.034; 0.915; 0.723;65; 3.398; 5.139; 8.13; 4.167; 0.905;121; 1.153; 1.477; 2.242; 0.841; 0.776;205; 2.842; 3.754; 3.725; 1.521; 0.827;317; 
Simulation n°109;0.828; 0.994; 2.008; 0.803; 0.696;48; 1.808; 2.418; 1.506; 0.565; 0.734;107; 8.672; 13.17; 1.421; 0.595; 0.823;243; 3.795; 5.171; 6.341; 2.774; 0.878;327; 
Simulation n°110;1.648; 2.307; 1.381; 0.483; 0.712;56; 5.267; 8.033; 2.276; 0.91; 0.694;122; 0.854; 0.94; 1.173; 0.447; 0.784;176; 2.906; 3.887; 4.576; 1.945; 0.849;321; 
Simulation n°111;0.764; 0.745; 0.228; 0.046; 0.332;39; 1.27; 1.571; 4.507; 1.803; 0.828;99; 1.059; 1.324; 3.852; 1.517; 0.789;200; 7.824; 11.117; 3.238; 1.336; 0.832;341; 
Simulation n°112;1.714; 2.4; 1.869; 0.888; 0.821;56; 1.481; 2.221; 0.893; 0.369; 0.811;120; 5.094; 7.355; 2.827; 1.219; 0.847;231; 2.403; 3.024; 4.599; 1.916; 0.841;302; 
